,movie,year,production_budget,domestic_gross,foreign_gross,worldwide_gross,month,profit,profit_margin,roi,pct_foreign,match_key,popularity,release_date,original_language,vote_average,vote_count,genre_list,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
0,Avatar,2009,425000000,760507625,2015837654,2776345279,12,2351345279,0.846921057256582,5.532577127058824,0.7260759925098639,2009 Avatar,26.526,2009-12-18,en,7.4,18676,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Action,Adventure,Fantasy,Science Fiction",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,Pirates of the Caribbean: On Stranger Tides,2011,410600000,241063875,804600000,1045663875,5,635063875,0.6073307973845802,1.5466728567949342,0.7694633230013803,2011 Pirates of the Caribbean: On Stranger Tides,30.579,2011-05-20,en,6.4,8571,"['Adventure', 'Action', 'Fantasy']","Adventure,Action,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Avengers: Age of Ultron,2015,330600000,459005868,944008095,1403013963,5,1072413963,0.7643644263574588,3.2438413883847548,0.6728429793966348,2015 Avengers: Age of Ultron,44.383,2015-05-01,en,7.3,13457,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,Avengers: Infinity War,2018,300000000,678815482,1369318718,2048134200,4,1748134200,0.8535252231030565,5.827114,0.6685688457328626,2018 Avengers: Infinity War,80.773,2018-04-27,en,8.3,13948,"['Adventure', 'Action', 'Fantasy']","Adventure,Action,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,Justice League,2017,300000000,229024295,426920914,655945209,11,355945209,0.5426447272061713,1.18648403,0.6508484369462023,2017 Justice League,34.953,2017-11-17,en,6.2,7510,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Action,Adventure,Fantasy,Science Fiction",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5,Justice League,2017,300000000,229024295,426920914,655945209,11,355945209,0.5426447272061713,1.18648403,0.6508484369462023,2017 Justice League,34.953,2017-11-17,en,6.2,7510,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Action,Adventure,Fantasy,Science Fiction",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6,Spectre,2015,300000000,200074175,679546748,879620923,11,579620923,0.6589439926271513,1.9320697433333334,0.7725450023202779,2015 Spectre,30.318,2015-11-06,en,6.4,6719,"['Action', 'Adventure', 'Crime']","Action,Adventure,Crime",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Spectre,2015,300000000,200074175,679546748,879620923,11,579620923,0.6589439926271513,1.9320697433333334,0.7725450023202779,2015 Spectre,30.318,2015-11-06,en,6.4,6719,"['Action', 'Adventure', 'Crime']","Action,Adventure,Crime",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,The Dark Knight Rises,2012,275000000,448139099,636300000,1084439099,7,809439099,0.7464126844434258,2.9434149054545453,0.586754941413266,2012 The Dark Knight Rises,26.22,2012-07-20,en,7.7,13933,"['Action', 'Crime', 'Drama', 'Thriller']","Action,Crime,Drama,Thriller",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,Solo: A Star Wars Story,2018,275000000,213767512,179383835,393151347,5,118151347,0.3005238260063751,0.4296412618181818,0.45627170393492256,2018 Solo: A Star Wars Story,29.502,2018-05-25,en,6.6,3838,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,The Lone Ranger,2013,275000000,89302115,170700000,260002115,7,-14997885,-0.05768370384217836,-0.05453776363636364,0.6565331208940358,2013 The Lone Ranger,12.482,2013-07-03,en,6.0,3789,"['Action', 'Adventure', 'Western']","Action,Adventure,Western",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,John Carter,2012,275000000,73058679,209719421,282778100,3,7778100,0.027506019737737822,0.028284,0.741639543514862,2012 John Carter,18.549,2012-03-09,en,6.1,3338,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,Tangled,2010,260000000,200821936,385655304,586477240,11,326477240,0.5566750382333677,1.2556816923076923,0.6575793188496113,2010 Tangled,21.511,2010-11-24,en,7.5,6407,"['Animation', 'Family']","Animation,Family",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
